Query Node,K,Top Nodes,Distances,Runtime,Max Distance,Avg Distance
1,3,"['39', '21', '20']","[1.98, 2.04, 2.16]",0.015557050704956055,3.8658035115537848,3.1430902720947445
1,5,"['39', '21', '20', '51', '190']","[1.98, 2.04, 2.16, 2.16, 2.21]",0.014525651931762695,3.8658035115537848,3.1430902720947445
2,3,"['36', '85', '9']","[2.16, 2.39, 2.47]",0.014542818069458008,3.9161362578765786,3.2717161410510016
2,5,"['36', '85', '9', '88', '90']","[2.16, 2.39, 2.47, 2.55, 2.56]",0.015511751174926758,3.9161362578765786,3.2717161410510016
3,3,"['81', '19', '22']","[2.39, 2.46, 2.58]",0.014870882034301758,3.9242279540258114,3.265122039980357
3,5,"['81', '19', '22', '47', '51']","[2.39, 2.46, 2.58, 2.62, 2.64]",0.015018939971923828,3.9242279540258114,3.265122039980357
4,3,"['0', '25', '48']","[2.08, 2.31, 2.33]",0.014385223388671875,3.878466954374638,3.200126909922745
4,5,"['0', '25', '48', '87', '14']","[2.08, 2.31, 2.33, 2.34, 2.35]",0.01450967788696289,3.878466954374638,3.200126909922745
5,3,"['11', '74', '44']","[2.2, 2.38, 2.38]",0.014511823654174805,3.9421413438124437,3.184616560851303
5,5,"['11', '74', '44', '68', '20']","[2.2, 2.38, 2.38, 2.44, 2.46]",0.01408243179321289,3.9421413438124437,3.184616560851303
